# 0.3.1 golden corpus - kernel Select (SqueakPoolRegistry). Lines: scenario|mode|domain|action|seed|gate|eggs|soundKey|tier|poolStableKey; '-' = none.
# Rebuilt by tools/KernelCharacterization; scenarios frozen in Scenarios.cs (S1-S7 constructed incl. egg/two-race, F03-F07 fixture-driven from fixtures/input). Any delta on replay = regression.
S1-empty|Off|Ratkin|Call|1|all|off|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|1|partial|off|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|2|all|off|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|2|partial|off|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|3|all|off|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|3|partial|off|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|1|all|on|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|1|partial|on|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|2|all|on|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|2|partial|on|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|3|all|on|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|3|partial|on|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|1|all|off|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|1|partial|off|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|2|all|off|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|2|partial|off|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|3|all|off|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|3|partial|off|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|1|all|on|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|1|partial|on|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|2|all|on|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|2|partial|on|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|3|all|on|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|3|partial|on|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|1|all|off|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|1|partial|off|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|2|all|off|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|2|partial|off|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|3|all|off|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|3|partial|off|SR_Sleep|BuiltInFallback|-
