# us 0.1.0 golden corpus - kernel Select (UniversalSqueaker). Lines: scenario|mode|domain|action|seed|gate|eggs|soundKey|tier|poolStableKey; '-' = none.
# Rebuilt by tools/UniversalSqueakerKernelTests; scenarios frozen in Scenarios.cs (S1-S7 constructed, two-race equal routing). Any delta on replay = regression.
S1-empty|Off|US_Race_A|Call|1|all|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|1|partial|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|2|all|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|2|partial|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|3|all|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|3|partial|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|1|all|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|1|partial|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|2|all|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|2|partial|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|3|all|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Call|3|partial|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|1|all|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|1|partial|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|2|all|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|2|partial|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|3|all|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|3|partial|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|1|all|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|1|partial|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|2|all|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|2|partial|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|3|all|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Eat|3|partial|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|1|all|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|1|partial|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|2|all|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|2|partial|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|3|all|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|3|partial|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|1|all|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|1|partial|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|2|all|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|2|partial|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|3|all|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Sleep|3|partial|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|1|all|off|US_Fallback_Wounded|BuiltInFallback|-
